"","source","date","year","temperature","DO","salinity","potential_density","pres","cond","sampleID"
"127","Mooring",2021-06-09 16:50:26,"2021",7.7305,3.23441,33.4526,26.0984,41.955,3.454625,NA
"128","Mooring",2021-06-09 17:00:27,"2021",7.6911,3.16617,33.4646,26.1134,42.057,3.452212,NA
"129","Mooring",2021-06-09 17:10:26,"2021",7.7161,3.18923,33.4569,26.1038,42.168,3.453741,NA
"130","Mooring",2021-06-09 17:20:27,"2021",7.701,3.18732,33.4615,26.1096,42.215,3.452815,NA
"131","Mooring",2021-06-09 17:30:26,"2021",7.6936,3.18524,33.4633,26.112,42.18,3.452326,NA
"132","Mooring",2021-06-09 17:40:27,"2021",7.6833,3.16912,33.4667,26.1162,42.538,3.451735,NA
"133","Mooring",2021-06-09 17:50:26,"2021",7.6836,3.17982,33.4672,26.1166,42.593,3.451819,NA
"134","Mooring",2021-06-09 18:00:27,"2021",7.6556,3.148,33.4775,26.1287,42.669,3.450278,NA
"135","Mooring",2021-06-09 18:10:27,"2021",7.6414,3.12632,33.4854,26.1369,42.83,3.449741,NA
"136","Mooring",2021-06-09 18:20:26,"2021",7.638,3.11914,33.4872,26.1388,42.856,3.44961,NA
"137","Mooring",2021-06-09 18:30:27,"2021",7.6268,3.1086,33.4915,26.1438,42.711,3.449001,NA
"138","Mooring",2021-06-09 18:40:26,"2021",7.624,3.1014,33.4929,26.1453,42.909,3.4489,NA
"139","Mooring",2021-06-09 18:50:27,"2021",7.6208,3.08693,33.4942,26.1468,42.895,3.448727,NA
"140","Mooring",2021-06-09 19:00:26,"2021",7.6147,3.07333,33.4969,26.1497,43.102,3.448435,NA
"141","Mooring",2021-06-09 19:10:27,"2021",7.6144,3.06911,33.4972,26.15,43.19,3.448441,NA
"142","Mooring",2021-06-09 19:20:26,"2021",7.6195,3.07967,33.4954,26.1479,43.008,3.448733,NA
"143","Mooring",2021-06-09 19:30:27,"2021",7.6138,3.05933,33.4974,26.1503,43.208,3.448405,NA
"144","Mooring",2021-06-09 19:40:27,"2021",7.6046,3.04906,33.5014,26.1547,43.273,3.447957,NA
"145","Mooring",2021-06-09 19:50:26,"2021",7.5974,3.03917,33.5043,26.1581,43.263,3.447593,NA
"146","Mooring",2021-06-09 20:00:27,"2021",7.589,3.03256,33.508,26.1621,43.353,3.447176,NA
"147","Mooring",2021-06-09 20:10:26,"2021",7.5849,3.01408,33.5098,26.1642,43.322,3.446985,NA
"148","Mooring",2021-06-09 20:20:27,"2021",7.5795,3.01414,33.5121,26.1668,43.189,3.446716,NA
"149","Mooring",2021-06-09 20:30:26,"2021",7.5804,3.01326,33.5124,26.1669,43.3,3.446818,NA
"150","Mooring",2021-06-09 20:40:27,"2021",7.5781,3.005,33.5136,26.1681,43.222,3.446722,NA
"151","Mooring",2021-06-09 20:50:26,"2021",7.581,3.01466,33.5124,26.1668,43.211,3.446865,NA
"152","Mooring",2021-06-09 21:00:27,"2021",7.5858,3.03167,33.5109,26.1649,43.35,3.447164,NA
"153","Mooring",2021-06-09 21:10:27,"2021",7.5879,3.03548,33.5101,26.164,43.264,3.447277,NA
"154","Mooring",2021-06-09 21:20:26,"2021",7.5894,3.03681,33.5097,26.1635,43.251,3.447372,NA
"155","Mooring",2021-06-09 21:30:27,"2021",7.5948,3.04535,33.5076,26.161,43.142,3.447653,NA
"156","Mooring",2021-06-09 21:40:26,"2021",7.604,3.05483,33.504,26.1569,43.177,3.448148,NA
"157","Mooring",2021-06-09 21:50:27,"2021",7.6116,3.06667,33.5011,26.1536,43.094,3.448554,NA
"158","Mooring",2021-06-09 22:00:26,"2021",7.6201,3.07441,33.498,26.1498,43.028,3.449019,NA
"159","Mooring",2021-06-09 22:10:27,"2021",7.6272,3.07539,33.4952,26.1466,43.1,3.449389,NA
"160","Mooring",2021-06-09 22:20:26,"2021",7.6294,3.07287,33.4936,26.1451,42.897,3.449437,NA
"161","Mooring",2021-06-09 22:30:27,"2021",7.6303,3.07478,33.4936,26.145,42.781,3.449509,NA
"162","Mooring",2021-06-09 22:40:27,"2021",7.6343,3.0941,33.492,26.1432,42.752,3.449724,NA
"163","Mooring",2021-06-09 22:50:26,"2021",7.6415,3.10158,33.489,26.1397,42.621,3.450076,NA
"164","Mooring",2021-06-09 23:00:27,"2021",7.6447,3.09414,33.488,26.1385,42.642,3.450273,NA
"165","Mooring",2021-06-09 23:10:26,"2021",7.6598,3.12108,33.482,26.1316,42.53,3.45106,NA
"166","Mooring",2021-06-09 23:20:27,"2021",7.6618,3.11969,33.4818,26.1312,42.54,3.451216,NA
"167","Mooring",2021-06-09 23:30:26,"2021",7.676,3.14092,33.4771,26.1255,42.571,3.452057,NA
"168","Mooring",2021-06-09 23:40:27,"2021",7.6742,3.13748,33.4775,26.126,42.486,3.451926,NA
"169","Mooring",2021-06-09 23:50:26,"2021",7.6838,3.14201,33.4746,26.1224,42.459,3.452517,NA
"170","Mooring",2021-06-10 00:00:27,"2021",7.6902,3.1524,33.4718,26.1193,42.192,3.452816,NA
"171","Mooring",2021-06-10 00:10:27,"2021",7.6945,3.15445,33.4704,26.1176,42.376,3.453072,NA
"172","Mooring",2021-06-10 00:20:26,"2021",7.7169,3.17599,33.4631,26.1086,42.474,3.454398,NA
"173","Mooring",2021-06-10 00:30:27,"2021",7.7153,3.17653,33.4632,26.1089,42.323,3.454261,NA
"174","Mooring",2021-06-10 00:40:26,"2021",7.7316,3.19331,33.458,26.1025,42.465,3.45524,NA
"175","Mooring",2021-06-10 00:50:27,"2021",7.7562,3.20666,33.4498,26.0925,42.127,3.456655,NA
"176","Mooring",2021-06-10 01:00:26,"2021",7.7503,3.19322,33.452,26.0951,42.182,3.456345,NA
"177","Mooring",2021-06-10 01:10:27,"2021",7.7696,3.21353,33.4453,26.087,42.221,3.45745,NA
"178","Mooring",2021-06-10 01:20:26,"2021",7.79,3.22154,33.4386,26.0788,42.246,3.458639,NA
"179","Mooring",2021-06-10 01:30:27,"2021",7.8347,3.27185,33.4236,26.0606,42.326,3.461244,NA
"180","Mooring",2021-06-10 01:40:27,"2021",7.8379,3.28518,33.4223,26.059,42.25,3.461399,NA
"181","Mooring",2021-06-10 01:50:26,"2021",7.841,3.27061,33.4211,26.0577,42.365,3.461579,NA
"182","Mooring",2021-06-10 02:00:27,"2021",7.8737,3.28494,33.4126,26.0463,42.286,3.463701,NA
"183","Mooring",2021-06-10 02:10:26,"2021",7.8915,3.31828,33.4055,26.0381,42.147,3.464615,NA
"184","Mooring",2021-06-10 02:20:27,"2021",7.8818,3.30254,33.4091,26.0424,42.259,3.464095,NA
"185","Mooring",2021-06-10 02:30:26,"2021",7.9098,3.34594,33.4006,26.0316,42.4,3.465811,NA
"186","Mooring",2021-06-10 02:40:27,"2021",7.9254,3.35697,33.3962,26.0259,42.395,3.466792,NA
"187","Mooring",2021-06-10 02:50:26,"2021",7.9464,3.38314,33.3898,26.0178,42.281,3.46806,NA
"188","Mooring",2021-06-10 03:00:27,"2021",7.9015,3.28081,33.4019,26.0339,42.15,3.465177,NA
"189","Mooring",2021-06-10 03:10:27,"2021",7.9323,3.34471,33.3942,26.0233,42.466,3.467216,NA
"190","Mooring",2021-06-10 03:20:26,"2021",7.9191,3.31136,33.3976,26.0279,42.519,3.466361,NA
"191","Mooring",2021-06-10 03:30:27,"2021",7.9367,3.34143,33.3925,26.0213,42.474,3.467456,NA
"192","Mooring",2021-06-10 03:40:26,"2021",7.8265,3.19229,33.4257,26.0634,42.62,3.460718,NA
"193","Mooring",2021-06-10 03:50:27,"2021",7.8628,3.26065,33.4164,26.0508,42.727,3.463097,NA
"194","Mooring",2021-06-10 04:00:26,"2021",7.8027,3.18906,33.4375,26.0761,42.828,3.459703,NA
"195","Mooring",2021-06-10 04:10:27,"2021",7.8287,3.22206,33.4286,26.0653,42.908,3.461191,NA
"196","Mooring",2021-06-10 04:20:26,"2021",7.801,3.1839,33.4369,26.0759,42.826,3.459493,NA
"197","Mooring",2021-06-10 04:30:27,"2021",7.797,3.18068,33.4388,26.078,43.089,3.45932,NA
"198","Mooring",2021-06-10 04:40:27,"2021",7.7934,3.18212,33.4403,26.0797,43.164,3.459147,NA
"199","Mooring",2021-06-10 04:50:26,"2021",7.7849,3.1775,33.4432,26.0832,43.137,3.458657,NA
"200","Mooring",2021-06-10 05:00:27,"2021",7.7817,3.16459,33.4446,26.0848,43.302,3.458508,NA
"201","Mooring",2021-06-10 05:10:26,"2021",7.7773,3.16001,33.4458,26.0863,43.202,3.458221,NA
"202","Mooring",2021-06-10 05:20:27,"2021",7.7777,3.15464,33.4459,26.0863,43.455,3.458275,NA
"203","Mooring",2021-06-10 05:30:26,"2021",7.7686,3.13632,33.4488,26.09,43.474,3.457737,NA
"204","Mooring",2021-06-10 05:40:27,"2021",7.7574,3.12503,33.4525,26.0945,43.375,3.457074,NA
"205","Mooring",2021-06-10 05:50:26,"2021",7.7536,3.12025,33.4539,26.0961,43.641,3.456877,NA
"206","Mooring",2021-06-10 06:00:27,"2021",7.746,3.10869,33.4564,26.0992,43.602,3.456435,NA
"207","Mooring",2021-06-10 06:10:27,"2021",7.7404,3.10045,33.4585,26.1016,43.545,3.456124,NA
"208","Mooring",2021-06-10 06:20:26,"2021",7.738,3.10702,33.4593,26.1026,43.663,3.455987,NA
"209","Mooring",2021-06-10 06:30:27,"2021",7.7378,3.1036,33.4595,26.1028,43.79,3.455993,NA
