"","date","SST_C","Chlor_a_mg_m_3","Mean_SST_Error"
"96",2021-08-04,13.2303688311688,NA,0.38961038961039
"97",2021-08-05,13.4550727272727,NA,0.39
"98",2021-08-06,13.4004103896104,0.8612083,0.389688311688312
"99",2021-08-07,13.4465064935065,NA,0.39
"100",2021-08-08,14.0074363636364,3.53285876,0.39
"101",2021-08-09,14.2754233766234,NA,0.38974025974026
"102",2021-08-10,14.5289064935065,NA,0.388285714285714
"103",2021-08-11,14.6773142857143,5.90727398421053,0.389974025974026
"104",2021-08-12,15.0313350649351,1.65048950555556,0.39
"105",2021-08-13,15.4693324675325,3.407638975,0.39
"106",2021-08-14,15.5379350649351,NA,0.39
"107",2021-08-15,14.5341662337662,NA,0.39
"108",2021-08-16,13.6772415584416,NA,0.39
"109",2021-08-17,13.6356987012987,NA,0.38825974025974
"110",2021-08-18,13.7359558441558,NA,0.388103896103896
"111",2021-08-19,13.3388649350649,NA,0.389636363636364
"112",2021-08-20,12.9668649350649,NA,0.389948051948052
"113",2021-08-21,12.5919194805195,NA,0.39
"114",2021-08-22,12.8374961038961,2.412741956,0.381558441558442
"115",2021-08-23,12.8581272727273,7.17369382631579,0.376545454545455
"116",2021-08-24,12.9293480519481,9.9614003,0.372701298701299
"117",2021-08-25,12.7584155844156,NA,0.374025974025974
"118",2021-08-26,12.7416441558442,NA,0.38
"119",2021-08-27,12.213825974026,0.556774695,0.38
"120",2021-08-28,12.2851324675325,NA,0.38
"121",2021-08-29,12.4280623376623,2.48191936818182,0.374753246753247
"122",2021-08-30,12.3578883116883,NA,0.374545454545455
"123",2021-08-31,12.5666285714286,NA,0.375402597402597
"124",2021-09-01,12.4201506493506,2.4002848,0.378935064935065
"125",2021-09-02,12.1997090909091,3.50007968235294,0.379194805194805
"126",2021-09-03,12.2893064935065,NA,0.382935064935065
"127",2021-09-04,12.3767402597403,NA,0.383116883116883
"128",2021-09-05,12.3803558441558,NA,0.380363636363636
"129",2021-09-06,12.4927220779221,2.600435692,0.378987012987013
"130",2021-09-07,12.5806155844156,4.03898842631579,0.379922077922078
"131",2021-09-08,13.0091402597403,NA,0.382675324675325
"132",2021-09-09,12.7060649350649,NA,0.382493506493506
"133",2021-09-10,13.6875922077922,NA,0.39
"134",2021-09-11,13.2130961038961,NA,0.389038961038961
"135",2021-09-12,12.7955506493507,2.69908058571429,0.380753246753247
"136",2021-09-13,12.7160181818182,1.79664096,0.378649350649351
"137",2021-09-14,12.6606155844156,NA,0.38
"138",2021-09-15,12.6036051948052,2.56083188571429,0.38
"139",2021-09-16,12.4640753246753,NA,0.38
"140",2021-09-17,12.2506805194805,NA,0.38
"141",2021-09-18,12.035761038961,2.38784996,0.384441558441558
"142",2021-09-19,12.2098025974026,1.64413251666667,0.38
"143",2021-09-20,12.2402155844156,NA,0.376857142857143
"144",2021-09-21,12.6073896103896,2.382073392,0.379948051948052
"145",2021-09-22,12.720838961039,NA,0.38
"146",2021-09-23,12.9029584415584,3.516584428,0.374883116883117
"147",2021-09-24,12.9541064935065,3.809743856,0.371064935064935
"148",2021-09-25,13.1600415584416,1.669920375,0.372051948051948
"149",2021-09-26,12.9636493506493,NA,0.38
"150",2021-09-27,12.6327324675325,NA,0.38
"151",2021-09-28,12.4262415584416,0.593368167142857,0.38
"152",2021-09-29,12.4696649350649,NA,0.38561038961039
"153",2021-09-30,12.480161038961,0.674771986666667,0.38
"154",2022-05-01,10.8959792207792,NA,0.382701298701299
"155",2022-05-02,11.1439142857143,3.4416466625,0.384987012987013
"156",2022-05-03,10.6827974025974,NA,0.39
"157",2022-05-04,10.1994181818182,NA,0.39
"158",2022-05-05,10.5468285714286,NA,0.39
"159",2022-05-06,10.5472935064935,NA,0.38187012987013
"160",2022-05-07,10.6550051948052,2.66205245454545,0.38
"161",2022-05-08,10.6710961038961,2.69186365714286,0.381194805194805
"162",2022-05-09,10.5175974025974,0.982433469090909,0.389948051948052
"163",2022-05-10,10.3494519480519,2.25094664,0.380805194805195
"164",2022-05-11,10.5662727272727,NA,0.386155844155844
"165",2022-05-12,10.6467038961039,0.5967844,0.38
"166",2022-05-13,10.6485948051948,NA,0.38
